CSV Column,Found in BibTeX,Equivalent BibTeX Field,ChatGPT Notes
Key,✔️,"[It is the first string after the ""{"" bracket (eg taixInstitucionModoRezar1576)]",
Item Type,✔️,"[It is the string after the ""@"" sign, at the beginning of the item (eg “book”)]",
Publication Year,✔️,year,
Author,✔️,author,
Title,✔️,title,
Publication Title,,,
ISBN,,isbn,
ISSN,,,
DOI,,,
Url,✔️,url,
Abstract Note,✔️,abstract,
Date,✔️,date,
Date Added,,,
Date Modified,,,
Access Date,,,
Pages,,,
Num Pages,,,
Issue,,,
Volume,✔️,volume,
Number Of Volumes,,,
Journal Abbreviation,,,
Short Title,✔️,shorttitle,
Series,✔️,series,
Series Number,,,
Series Text,,,
Series Title,,,
Publisher,✔️,publisher,
Place,✔️,address,
Language,✔️,language,
Rights,✔️,copyright,
Type,,,
Archive,,,
Archive Location,,,
Library Catalog,,,
Call Number,,,
Extra,,,
Notes,✔️,note,
File Attachments,,,
Link Attachments,,,
Manual Tags,,,
Automatic Tags,,,
Editor,✔️,editor,
Translator,✔️,translator,
Series Editor,,,
Translator,,,
Contributor,,,
Attorney Agent,,,
Book Author,,,
Cast Member,,,
Commenter,,,
Composer,,,
Cosponsor,,,
Counsel,,,
Interviewer,,,
Producer,,,
Recipient,,,
Reviewed Author,,,
Scriptwriter,,,
Words By,,,
Guest,,,
Number,,,
Edition,✔️,edition,
Running Time,,,
Scale,,,
Medium,,,
Artwork Size,,,
Filing Date,,,
Application Number,,,
Assignee,,,
Issuing Authority,,,
Country,✔️,(guessed from content),
Meeting Name,,,
Conference Name,,,
Court,,,
References,,,
Reporter,,,
Legal Status,,,
Priority Numbers,,,
Programming Language,,,
Version,,,
System,,,
Code,,,
Code Number,,,
Section,,,
Session,,,
Committee,,,
History,,,
Legislative Body,,,
