Blank Column,Id,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Download,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library,Call Number,Extra,Notes,Cover,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
,HWUHIB4L,book,1898,"Sousa, Cruz e",Evocações,,,,,https://ia802607.us.archive.org/12/items/3345231/3345231.pdf,,1898,2022-05-11 15:54:04,2022-05-20 20:06:17,,,406,,,,,,,,,,Typ. Aldina,Rio de Janeiro,pt,,,University of Illinois Urbana-Champaign,https://archive.org/details/university_of_illinois_urbana-champaign,https://www.worldcat.org/title/evocaes/oclc/1194102158?referer=br&ht=edition,,Brasil,"<div data-schema-version=""8""><p>N'aquella hora tremenda, grande hora solemne na qual se ia iniciar outra nova vida, foi para mim uma sensibilidade original, um soffrimento nunca sentido, que me desprendia da terra, que me exhilaba do mundo, tal era o choque violento dos meus nervos nesse momento, tal a delicada e curiosa impressão da minh'alma n'esse transe supremo.</p> <p>Ella, abalada por gemidos, na dôr que a dilacerava, quasi desfallecia, com a mais rara expressão raysteriosa nos grandes olhos, os lábios lividos, o semblante de uma contemplatividade de martyrio, transfigurada já pela angustia sagrada d'aquella hora, no instante augusto da Maternidade.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/YBGYXZYL/evocacoes.jpg,,,,,,,,,,,,,,,,,,,,,,,1898,,,,,,,,,,,,,,,,,,,,,,,,,,
,WFXITK8T,book,1908,"Assis, Machado de",Memorial de Ayres,,,,,https://www.gutenberg.org/ebooks/55797,,1908,2022-05-11 15:08:45,2022-05-20 20:05:26,,,273,,,,,,,,,,H. Garnier,Rio de Janeiro / Paris,pt,,,Project Gutenberg,,https://www.worldcat.org/title/memorial-de-ayres/oclc/1300944285&referer=brief_results,,Brasil,"<div data-schema-version=""8""><p>Nesse momento, a viuva descruzava as mãos, e fazia gesto de ir embora. Primeiramente espraiou os olhos, como a ver se estava só. Talvez quizesse beijar a sepultura, o proprio nome do marido, mas havia gente perto, sem contar dous coveiros que levavam um regador e uma enxada, e iam falando de um enterro daquella manhã. Falavam alto, e um escarnecia do outro, em voz grossa: «Eras capaz de levar um daquelles ao morro? Só se fossem quatro como tu.» Tratavam de caixão pezado, naturalmente, mas eu voltei depressa a atenção para a viuva, que se afastava e caminhava lentamente, sem mais olhar para traz. Encoberto por um mausoleu, não a pude ver mais nem melhor que a principio. Ella foi descendo até o portão, onde passava um bonde em que entrou e partiu. Nós descemos depois e viemos no outro.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/BNJZ25EK/memorial_ayres_machado.jpg,,,,,,,,,,,,,,,,,,,,,,,1908,,,,,,,,,,,,,,,,,,,,,,,,,,
,DJIXBXIE,book,1943,"Sojo, Juan Pablo",Nochebuena negra,,978-980-01-2074-3,,,https://bibliotecadigital.bnv.gob.ve/wp-content/uploads/nochebuena_negra.pdf,,1943,2022-05-11 00:34:35,2022-05-20 20:01:54,,,,,,,,,,,,,General Rafael Urdaneta,Caracas,spa,,,Biblioteca Digital César Rengifo,https://bibliotecadigital.bnv.gob.ve,https://www.worldcat.org/title/nochebuena-negra-novela/oclc/16396635?referer=di&ht=edition,,Venezuela,"<div data-schema-version=""8""><p>En la mañana siguiente, mientras las mujeres vaciaban cacao en baba en los alijos que lo bajarían hacia el paso, Crisanto contó a Lino, Emeterio y a cuantos pudieron escucharlo, la noble acción del doctor Goyo... Un indio retaco, fornido, que sacaba filo en el mollejón, escuchaba la historia y sonrió. Lino se fijó en su risa. El indio era algo capachero; tenía pocos días en Pozo Frío y era casi un extraño. Había sido caporal en una hacienda del médico, y él solo sabía de qué se estaba riendo. De la hacienda se vino huido, después de cruzar el Tuy a nado y aparecerse en el rancho de Lino. Se llamaba Guaraco y era hermano de Juana, la mujer de él. Por allí anduvo la “Comisión”, pero en cuatro días no lo hallaron.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/86DTQ8GM/nochebuena_negra.jpg,,,,,,,,,,,,,,,,,,,,,,,1943,,,,,,,,,,,,,,,,,,,,,,,,,,
,5LYC395R,book,1954,"Estupiñán Bass, Nelson",Cuando los guayacanes florecían,,,,,,,1954,2022-05-10 21:00:13,2022-05-20 19:56:59,,,,,,,,,,,,,Casa de la Cultura Ecuatoriana,Quito,spa,,,,,https://www.worldcat.org/title/cuando-los-guayacanes-florecian/oclc/253770281?referer=di&ht=edition,,Ecuador,"<div data-schema-version=""8""><p>En una esquina del dormitorio, con la cabeza entre las manos, sentado al borde de su cama de madera, y retardado en el arreglo de su equipo, Gabriel Simbaña, indio metido a soldado de línea por el afán de salir de su aldea de la Sierra y no vivir la vida miserable de los otros, lloraba desconsoladamente. Recordaba que se había enrolado en el ejército, porque no quiso seguir la suerte de su padre, envejecido en la hacienda, casi desnudo y sin alcanzar a pagar jamás la cuenta al patrón. Recordaba el dolor que había sentido, --ah, cómo iba a poder olvidarlo!,-- cuando había visto que el látigo inclemente del patrón abría surcos de sangre en la espalda agobiada del viejo, aquel día que el mayordomo descubrió que su padre se había hurtado un saco de maíz. Fue en ese invierno duro y penoso, en que el hambre parecía haberse puesto de acuerdo con el patrón para hacer más amarga la vida de los indios. Recordaba ese loco anhelo de venir a la Costa, de vivir en una &nbsp;tierra distante, a donde no pudiera llegar el látigo ensangrentado del patrón.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/I5TG9EA5/guacayanes.jpg,,,,,,,,,,,,,,,,,,,,,,,1954,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBQTEPIH,book,1979,"Pedroso, Regino",Sólo acero,,,,,,,1979,2022-05-10 20:52:31,2022-05-20 19:54:23,,,,,,,,,,,,,Letras Cubanas,La Habana,spa,,,,,https://www.worldcat.org/title/solo-acero/oclc/17078423&referer=brief_results,,Cuba,"<div data-schema-version=""8""><p>Mark era un negro jamaiquino que en la gran guerra había estado en Europa defendiendo la libertad y la civilización del mundo bajo la bandera de Inglaterra. De ella, por los efectos de las granadas y los gases, trajo lesionado un pulmón y una sordera cada vez más dormida, que los médicos no sabían cómo curar Y ahora siendo ya inútil para su patria, había venido a Cuba, y aquí trabajaba unas veces como mecánico y otras veces como electricista. Todos lo queríamos mucho. Era inteligente y bondadoso, nos contaba bellos relatos negros de Jamaica y cosas endiabladas de las trincheras.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/KGVQZU8E/acero.jpg,,,,,,,,,,,,,,,,,,,,,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,,
,VHJI7BM2,book,1959,"Beleño C., Joaquín",Gamboa road gang: (los forzados de Gamboa),,,,,,,1959,2022-05-10 18:28:20,2022-05-20 19:53:43,,,,,,,,Gamboa road gang,,,,,"Ministerio de Educación, Departamento de Bellas Artes y Publicaciones",Ciudad de Panamá,spa,,,,,https://www.worldcat.org/title/gamboa-road-gang-los-forzados-de-gamboa/oclc/912933448?referer=br&ht=edition,,Panamá,"<div data-schema-version=""8""><p>La carretera es el cementerio porque aun sus arenas están hechas de los huesos roídos por las olas de todos los peces que viajaron por las profundidades marinas y reposaron largo tiempo en el polvo calcáreo de la orilla.</p> <p>Para unos, la carretera es la civilización y el progreso, para mí es el sepulcro donde claudica para siempre el hambre voraz de toda esta fauna que sale de las montañas para enfrentarse a la civilización moderna. Es la culebra, de movimiento peristáltico y la colibrí de nervioso aletear. Es el hombre y el perro. Y si ello es así, ¿quién soy yo para desafiar con mis lentos movimientos el curso de los vehículos? ¿Quién soy yo para osar cruzar este sólido cementerio en donde todos los dpias mueren miles y miles de seres? Mueren tiernos celebrados por todos los gallotes que giran en el cielo.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/INJ4M2SN/gamboa.jpg,,,,,,,,,,,,,,,,,,,,,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,
,LMS3JB96,book,1996,"Pedroso, Regino",Poesía,,978-959-209-137-5,,,,,1996,2022-05-10 18:07:02,2022-05-20 19:52:36,,,,,,,,,,,,,Ediciones Unión,La Habana,spa,,,,,https://www.worldcat.org/title/poesia/oclc/38207936&referer=brief_results,,Cuba,"<div data-schema-version=""8""><p>Todos recordamos qué fuiste entre nosotros.</p> <p>Pero el patrón obeso que desangró tu vida</p> <p>en hemorragia de sudor,</p> <p>aún ignora que amaste, que sufriste y moriste;</p> <p>pues aunque todos somos máquinas de producción,</p> <p>él sólo ama las de acero,</p> <p>hechas en Chicago o en Glasgow.</p> <p></p> <p>Ahora ocupo tu puesto junto a la máquina:</p> <p>esmerilo las válvulas,</p> <p>reviso los pistones,</p> <p>como tú engraso el émbbolo, los vástagos, las bielas,</p> <p>y siempre atento al reloj,</p> <p>mi corazón frente a la vida</p> <p>se mecaniza igual que otro reloj.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/W8DFBZVX/poesia.jpg,,,,,,,,,,,,,,,,,,,,,,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,
,435CQ6VN,book,1966,"Arozarena, Marcelino",Cancion negra sin color.,,,,,,,1966,2022-05-10 16:49:26,2022-05-20 19:51:52,,,,,,,,,,,,,Cuadernos Unión,La Habana,spa,,,,,https://www.worldcat.org/title/cancion-negra-sin-color/oclc/778125076&referer=brief_results,,Cuba,"<div data-schema-version=""8""><p>El fandango</p> <p>de gran rango,</p> <p>que anda en grillo</p> <p>por el trillo tartamudo de vegetal castañuela</p> <p>--eco en fleco;</p> <p> &nbsp; cruz y espuela--</p> <p>es la rumba rimbombante que brina con desespero</p> <p>en los ceros majaderos del bongo.</p> <p></p> <p>Pacatá.</p> <p>Tacatá.</p> <p>Pacatacatacatá.</p> <p>¡Olé! ¡Alsá!</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/KG2U9AAT/color.jpg,,,,,,,,,,,,,,,,,,,,,,,1966,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFC996BH,book,1975,"Manzano, Juan Francisco; Schulman, Iván A",Autobiografía de un esclavo (moderniziada),,978-84-250-0186-4,,,,,1975,2022-05-09 17:20:33,2022-05-20 19:51:23,,,,,,,,Autobiograf?,,,,,Guadarrama,Madrid,spa,,,,,https://www.worldcat.org/title/autobiografia-de-un-esclavo/oclc/462770861&referer=brief_results,,Cuba,"<div data-schema-version=""8""><p>Era un lugar tan soturno como apartado de la casa, en un traspetio junto a una caballeriza y junto a un apestoso y evaporante basurero, contiguo a un lugar común tan infestado como húmedo y siempre pestífero, separado de él sólo por unas paredes, todas agujereadas, guarida de deformes ratas que sin cesar me pasaban por encima. Yo que tenía la cabeza llena de cuentos de cosas malas de otros tiempos, de las almas aparecidas aquí de la otra vida, y de los encantamientos de los muertos, cuando salía un tropel de ratas haciendio ruido me parecía que estaba aquel sótano lleno de fantasmas.</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/ZMY69GAS/autobiografia.jpg,,,,,,,,,,,,,,,,,,,,,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,
,IQG47SVA,book,2004,"Durán Ayanegui, Fernando",Cuentos y relatos escogidos,,978-9977-23-788-6,,,,,2004,2022-05-09 16:56:23,2022-05-20 19:50:36,,,,,,,,Cuentos y relatos escogidos de Fernando Durán Ayanegui,,,,,Editorial Costa Rica,"San José, Costa Rica",spa,,,,,https://www.worldcat.org/title/cuentos-y-relatos-escogidos-de-fernando-duran-ayanegui/oclc/470282274&referer=brief_results,,Costa Rica,"<div data-schema-version=""8""><p>Como casi todo en mi niñez, esto aconteció en Alajuela y no puedo adivinar qué alimento o qué dolencia provocó la diarrea de mi pariente. Pero lo cierto es que, por hallarse cerca de ahí &nbsp;en el momento del apuro, se vio obligado a pedir permiso para utilizar, aquella tarde de julio de 1950, el excusado de mi casa. Como era lo común entonces, esa íntima facilidad estaba situada en el fondo del patio, y la frugalidad de la época hacía del papel higiénico algo suntuoso, que los pobres sustituíamos con hojas de diarios atrasados, meticulosamente recortadas en cuatro de modo que en el ventilado cubículo siempre había un grueso gancho de alambre del que colgaba un rimero de trozos de papel periódico.</p> <p>(…)</p> <p>--Negra, yo creo que esto le puede servir al negrito.</p> <p>El “negrito” lo era yo por cuenta de mi tatarabuelo africano que fue esclavo cortador de caña en Jamaica, y no estando para mí claro en aquel momento de dónde había sacado Daniel lo que a su juicio me habría de ser útil, di rienda suelta a mi curiosidad y me desenjaboné tan rápidamente como pude. Cuando salí del baño ya Daniel había partido, pero ahí estaba mi madre leyendo con interés un pedazo de papel periódico que me tendió de inmediato:</p> </div>",/run/media/febres/TOSHIBA EXT/Data/Zotero/storage/BUICT9IR/cuentos-duran.jpg,,,,,,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,
